,redirect_id_sharing_events,url_str_lens,req_header_num,semicolon_in_query,samesite_none_in_header,p3p_in_header,etag_in_header,uuid_in_url,tracking_keywords_next_to_special_char,subdomain_check,special_char_count,req_query_str_lens,req_query_cookies_num,tracking_keywords_in_url,query_url_check,cookie_syncs
4,0,8,13,0,1,1,0,1,1,1,44,287,287,1,1,0
5,1,20,8,0,1,1,0,1,1,1,21,169,169,1,0,0
6,0,16,6,0,0,0,0,0,1,1,33,150,150,1,0,0
7,1,20,13,0,1,1,0,0,1,1,9,89,89,1,0,0
8,0,12,16,0,1,1,0,1,1,1,15,88,88,1,1,0
9,0,23,9,0,1,1,0,0,1,1,3,22,22,1,0,0
10,0,12,9,0,1,1,0,1,1,1,16,65,65,1,1,0
11,0,17,18,0,0,1,0,1,1,1,18,89,89,1,1,0
12,1,16,12,0,0,0,0,1,1,1,17,90,90,1,0,0
13,1,12,6,0,0,0,0,1,1,1,28,229,229,1,1,0
14,0,13,7,0,1,1,0,1,1,1,24,111,111,1,1,0
15,0,21,12,0,0,1,0,0,1,1,4,16,16,1,1,0
16,0,8,12,0,0,0,0,0,0,1,2,15,15,0,0,0
17,1,21,16,0,1,1,0,0,1,1,4,38,38,1,1,1
18,1,21,9,0,1,1,0,0,1,1,4,62,62,1,1,0
19,1,24,10,0,1,1,0,1,1,1,26,148,148,1,1,0
20,1,21,7,0,1,1,0,0,1,1,4,36,36,1,1,0
21,1,13,16,0,1,1,0,1,1,1,20,196,196,1,1,1
22,1,16,5,0,1,0,0,0,1,1,10,51,51,1,0,0
23,1,27,5,0,1,0,0,0,1,1,21,141,141,1,1,0
24,1,16,5,0,1,0,0,0,1,1,10,51,51,1,0,0
25,0,32,5,0,1,0,0,0,1,1,1,7,7,1,0,0
26,1,12,10,0,1,1,0,1,1,1,20,127,127,1,1,1
27,1,19,10,0,1,1,0,1,1,1,7,44,44,1,0,0
28,1,16,7,0,1,1,0,0,1,1,10,46,46,1,0,0
29,1,12,5,0,0,0,0,1,1,1,11,74,74,1,1,0
30,0,23,16,0,0,1,0,0,1,1,23,117,117,1,1,0
31,0,23,16,0,0,1,0,0,1,1,24,129,129,1,1,0
32,1,19,12,0,1,1,0,1,1,1,12,64,64,1,0,0
33,0,19,6,0,0,0,0,0,0,1,11,51,51,0,0,0
34,0,22,7,0,0,0,0,0,1,1,1,8,8,1,0,0
35,1,19,12,0,1,0,0,0,1,1,5,48,48,1,0,0
36,1,19,12,0,0,1,0,1,1,1,7,44,44,1,0,0
37,1,19,16,0,1,1,0,0,1,1,3,27,27,1,0,0
38,1,19,15,0,0,1,0,0,1,1,3,32,32,1,0,0
39,1,19,6,0,0,0,0,1,1,1,29,278,278,1,1,0
40,0,14,13,0,0,0,0,0,0,1,4,361,361,0,0,0
41,1,19,10,0,1,1,0,0,1,1,7,36,36,1,0,0
42,0,15,7,0,1,1,0,0,1,1,3,14,14,1,0,0
43,0,15,7,0,1,0,0,1,1,1,17,90,90,1,0,0
44,1,19,6,0,1,0,0,1,1,1,13,64,64,1,1,0
45,1,19,4,0,1,0,0,0,1,1,3,27,27,1,0,0
46,1,19,7,0,1,0,0,1,1,1,7,44,44,1,0,0
47,1,19,13,0,1,0,0,0,1,1,3,40,40,1,0,0
48,0,11,11,0,1,1,1,1,1,1,18,103,103,1,1,0
49,0,11,13,0,1,1,0,0,1,1,1,14,14,1,0,0
50,1,19,14,0,0,0,0,0,1,1,11,67,67,1,0,0
